rule_id,node_id,rule_type,code_system,code,match,analyte,op,threshold,unit,sex,aggregation,min_count,verified,source
R093,asthma,code,omop,317009,exact,,,,,any,,,yes,"Eunomia Synthea27Nj CONCEPT table (OHDSI/EunomiaDatasets); Asthma, Childhood asthma"
R094,asthma,code,omop,4051466,exact,,,,,any,,,yes,"Eunomia Synthea27Nj CONCEPT table (OHDSI/EunomiaDatasets); Asthma, Childhood asthma"
R095,asthma,code,snomed,195967001,exact,,,,,any,,,yes,Eunomia Synthea27Nj CONCEPT table (OHDSI/EunomiaDatasets)
R096,asthma.allergic,code,icd10,J45.0,prefix,,,,,any,,,yes,WHO ICD-10; code present in PhecodeX 1.0 WHO map and Phecode 1.2 ICD-10 map
R097,asthma.allergic,code,read2,H330.,prefix,,,,,any,,,yes,"ClinicalCodes.org article 1 (hypertension, asthma) codelist asthma"
R098,asthma.non_allergic,code,icd10,J45.1,prefix,,,,,any,,,yes,WHO ICD-10; code present in PhecodeX 1.0 WHO map and Phecode 1.2 ICD-10 map
R099,asthma.non_allergic,code,read2,H331.,prefix,,,,,any,,,yes,"ClinicalCodes.org article 1 (hypertension, asthma) codelist asthma"
R100,asthma.severe,code,icd10,J46,prefix,,,,,any,,,yes,WHO ICD-10; code present in PhecodeX 1.0 WHO map and Phecode 1.2 ICD-10 map
R101,asthma.severe,code,read2,H333.,exact,,,,,any,,,yes,"ClinicalCodes.org article 1 (hypertension, asthma) codelist asthma"
R102,asthma.severe,code,read2,H334.,exact,,,,,any,,,yes,"ClinicalCodes.org article 1 (hypertension, asthma) codelist asthma"
R103,asthma.severe,code,read2,H33z0,exact,,,,,any,,,yes,"ClinicalCodes.org article 1 (hypertension, asthma) codelist asthma"
