pgs_id,name,trait_id,trait_label,trait_reported,variants_number,method_name,publication_id,pubmed_id,ftp_scoring_file,scoring_file
PGS001546,GBE_INI25888,EFO_0004346|EFO_0005420,neuroimaging measurement|grey matter volume measurement,Volume of grey matter in Amygdala (L),115,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001546/ScoringFiles/PGS001546.txt.gz,data/pgs/scoring_files/PGS001546.txt.gz
PGS001540,GBE_INI25010,EFO_0004346|EFO_0005420|EFO_0008320,neuroimaging measurement|grey matter volume measurement|white matter volume measurement,"Volume of brain, grey+white matter",1871,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001540/ScoringFiles/PGS001540.txt.gz,data/pgs/scoring_files/PGS001540.txt.gz
PGS001534,GBE_INI25781,EFO_0004346|EFO_0005665,neuroimaging measurement|white matter hyperintensity measurement,Total Volume of white matter hyperintensities (from T1 and T2 FLAIR images),355,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001534/ScoringFiles/PGS001534.txt.gz,data/pgs/scoring_files/PGS001534.txt.gz
PGS001598,GBE_INI25787,EFO_0004346|EFO_0006516,neuroimaging measurement|superior frontal gyrus grey matter volume measurement,Volume of grey matter in Superior Frontal Gyrus (R),5,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001598/ScoringFiles/PGS001598.txt.gz,data/pgs/scoring_files/PGS001598.txt.gz
PGS001637,GBE_INI25011,EFO_0004346|EFO_0006935,neuroimaging measurement|thalamus volume,Volume of thalamus (L),1328,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001637/ScoringFiles/PGS001637.txt.gz,data/pgs/scoring_files/PGS001637.txt.gz
PGS001641,GBE_INI25007,EFO_0004346|EFO_0008320,neuroimaging measurement|white matter volume measurement,Volume of white matter (normalised for head size),1005,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001641/ScoringFiles/PGS001641.txt.gz,data/pgs/scoring_files/PGS001641.txt.gz
PGS001766,GBE_INI25685,EFO_0004346|OBA_2050009,neuroimaging measurement|brain volume,WA OD in tract corticospinal tract (L),1,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001766/ScoringFiles/PGS001766.txt.gz,data/pgs/scoring_files/PGS001766.txt.gz
PGS001635,GBE_INI25015,EFO_0004346|OBA_2050016,neuroimaging measurement|putamen volume,Volume of putamen (L),747,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001635/ScoringFiles/PGS001635.txt.gz,data/pgs/scoring_files/PGS001635.txt.gz
PGS001538,GBE_INI25024,EFO_0004346|OBA_2050020,neuroimaging measurement|nucleus accumbens volume,Volume of accumbens (R),643,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001538/ScoringFiles/PGS001538.txt.gz,data/pgs/scoring_files/PGS001538.txt.gz
PGS001539,GBE_INI25025,EFO_0004346|OBA_2050021|OBA_2050047,neuroimaging measurement|brain stem volume|fourth ventricle volume,Volume of brain stem + 4th ventricle,1183,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001539/ScoringFiles/PGS001539.txt.gz,data/pgs/scoring_files/PGS001539.txt.gz
PGS001632,GBE_INI25018,EFO_0004346|OBA_2050027,neuroimaging measurement|pallidum volume,Volume of pallidum (R),303,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001632/ScoringFiles/PGS001632.txt.gz,data/pgs/scoring_files/PGS001632.txt.gz
PGS001639,GBE_INI25004,EFO_0004346|OBA_VT0000254,neuroimaging measurement|cerebrospinal fluid amount,Volume of ventricular cerebrospinal fluid,772,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001639/ScoringFiles/PGS001639.txt.gz,data/pgs/scoring_files/PGS001639.txt.gz
PGS000167,hct,EFO_0004348,hematocrit,Hematocrit,502,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000167/ScoringFiles/PGS000167.txt.gz,data/pgs/scoring_files/PGS000167.txt.gz
PGS002880,ExPRSweb_CRP_28887542-GCST004941_PT_UKB_20211120,EFO_0004458,C-reactive protein measurement,C-reactive protein,2,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002880/ScoringFiles/PGS002880.txt.gz,data/pgs/scoring_files/PGS002880.txt.gz
PGS000735,PRS_PR,EFO_0004462,PR interval,PR interval,44,Genome-wide significant variants,PGP000144,31504448,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000735/ScoringFiles/PGS000735.txt.gz,data/pgs/scoring_files/PGS000735.txt.gz
PGS002596,biochemistry_Glucose.P+T.5e-08,EFO_0004468,glucose measurement,Glucose,482,Pruning and Thresholding (P+T),PGP000332,35393596,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002596/ScoringFiles/PGS002596.txt.gz,data/pgs/scoring_files/PGS002596.txt.gz
PGS000837,ISI,EFO_0004471,insulin sensitivity measurement,Insulin sensitivity index,219,Genome-wide significant variants,PGP000211,34737425,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000837/ScoringFiles/PGS000837.txt.gz,data/pgs/scoring_files/PGS000837.txt.gz
PGS005392,Q-PGS4_r0.2_p5e4,EFO_0004501,HOMA-IR,HOMA2-IR,1414,P + T,PGP000777,38938516,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005392/ScoringFiles/PGS005392.txt.gz,data/pgs/scoring_files/PGS005392.txt.gz
PGS000168,hgb,EFO_0004509,hemoglobin measurement,Hemoglobin concentration,515,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000168/ScoringFiles/PGS000168.txt.gz,data/pgs/scoring_files/PGS000168.txt.gz
PGS000955,GBE_INI4120,EFO_0004514,bone quantitative ultrasound measurement,Right heel broadband ultrasound attenuation,7069,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000955/ScoringFiles/PGS000955.txt.gz,data/pgs/scoring_files/PGS000955.txt.gz
PGS001519,GBE_INI4199,EFO_0004517,arterial stiffness measurement,Position of pulse wave notch,693,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001519/ScoringFiles/PGS001519.txt.gz,data/pgs/scoring_files/PGS001519.txt.gz
PGS000174,mch,EFO_0004527,mean corpuscular hemoglobin,Mean corpuscular hemoglobin,628,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000174/ScoringFiles/PGS000174.txt.gz,data/pgs/scoring_files/PGS000174.txt.gz
PGS000175,mchc,EFO_0004528,mean corpuscular hemoglobin concentration,Mean corpuscular hemoglobin concentration,224,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000175/ScoringFiles/PGS000175.txt.gz,data/pgs/scoring_files/PGS000175.txt.gz
PGS000063,GRS_TG,EFO_0004530,triglyceride measurement,Triglycerides,32,Genome-wide significant variants,PGP000045,25951326,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000063/ScoringFiles/PGS000063.txt.gz,data/pgs/scoring_files/PGS000063.txt.gz
PGS000126,Urate_GRS,EFO_0004531,urate measurement,Serum urate,114,Genome-wide significant variants,PGP000063,31578528,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000126/ScoringFiles/PGS000126.txt.gz,data/pgs/scoring_files/PGS000126.txt.gz
PGS003344,CVGRS_GGT,EFO_0004532,serum gamma-glutamyl transferase measurement,Gamma-glutamyl transferase,82,Genome-wide significant SNPs,PGP000405,36333282,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003344/ScoringFiles/PGS003344.txt.gz,data/pgs/scoring_files/PGS003344.txt.gz
PGS000815,GRS290_ALP,EFO_0004533,alkaline phosphatase measurement,Alkaline phosphatase,290,Variants associated with alkaline phosphatase levels.,PGP000201,33972514,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000815/ScoringFiles/PGS000815.txt.gz,data/pgs/scoring_files/PGS000815.txt.gz
PGS019959,GRS14_HbA1c,EFO_0004541,HbA1c measurement,HbA1c,14,Genome-wide significant SNPs,PGP000848,39042486,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019959/ScoringFiles/PGS019959.txt.gz,data/pgs/scoring_files/PGS019959.txt.gz
PGS000697,snpnet.Total_bilirubin,EFO_0004570,bilirubin measurement,Total bilirubin [umol/L],1159,snpnet,PGP000128,33462484,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000697/ScoringFiles/PGS000697.txt.gz,data/pgs/scoring_files/PGS000697.txt.gz
PGS003830,TC_SAS_CT,EFO_0004574,total cholesterol measurement,Total cholesterol,32,Clumping and Thresholding (C+T),PGP000489,37749244,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003830/ScoringFiles/PGS003830.txt.gz,data/pgs/scoring_files/PGS003830.txt.gz
PGS000172,lymph,EFO_0004587,lymphocyte count,Lymphocyte count,621,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000172/ScoringFiles/PGS000172.txt.gz,data/pgs/scoring_files/PGS000172.txt.gz
PGS005249,PGS5_QBB_6SNP,EFO_0004611,low density lipoprotein cholesterol measurement,LDL-C levels,6,P + T,PGP000743,39909172,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005249/ScoringFiles/PGS005249.txt.gz,data/pgs/scoring_files/PGS005249.txt.gz
PGS000192,GS9,EFO_0004611|EFO_0004612,low density lipoprotein cholesterol measurement|high density lipoprotein cholesterol measurement,Cholesterol,9,Curated variant associations,PGP000079,18354102,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000192/ScoringFiles/PGS000192.txt.gz,data/pgs/scoring_files/PGS000192.txt.gz
PGS002730,GRSlipid_35,EFO_0004611|GO_0036273,low density lipoprotein cholesterol measurement|response to statin,LDL lowering in response to statin,35,Genome-wide significant variants,PGP000337,35598204,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002730/ScoringFiles/PGS002730.txt.gz,data/pgs/scoring_files/PGS002730.txt.gz
PGS000060,GRS_HDL,EFO_0004612,high density lipoprotein cholesterol measurement,HDL cholesterol,46,Genome-wide significant variants,PGP000045,25951326,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000060/ScoringFiles/PGS000060.txt.gz,data/pgs/scoring_files/PGS000060.txt.gz
PGS003280,ExPRSweb_CysC_30720-irnt_PT_MGI_20211120,EFO_0004617,cystatin C measurement,Cystatin C,346,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003280/ScoringFiles/PGS003280.txt.gz,data/pgs/scoring_files/PGS003280.txt.gz
PGS003315,ExPRSweb_CysC_eGFRcys-overall-IV-2GC_PT_UKB_20211120,EFO_0004617|OBA_0003747,cystatin C measurement|glomerular filtration rate,Estimated glomerular filtration rate (Cystatin C),2,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003315/ScoringFiles/PGS003315.txt.gz,data/pgs/scoring_files/PGS003315.txt.gz
PGS003165,ExPRSweb_VitB12_Wood-et-al-2013-1000G_PT_MGI_20211120,EFO_0004620,vitamin B12 measurement,Vitamin B12,9,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003165/ScoringFiles/PGS003165.txt.gz,data/pgs/scoring_files/PGS003165.txt.gz
PGS003330,PRS-F8,EFO_0004630,factor VIII measurement,Factor VIII levels,10,Genome-wide significant SNPs,PGP000395,36313186,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003330/ScoringFiles/PGS003330.txt.gz,data/pgs/scoring_files/PGS003330.txt.gz
PGS003762,PRS57_amyloid,EFO_0004670,beta-amyloid 1-42 measurement,Amyloid beta 42,57,Genome-wide significant SNPs,PGP000485,36895094,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003762/ScoringFiles/PGS003762.txt.gz,data/pgs/scoring_files/PGS003762.txt.gz
PGS000768,PRS_QT,EFO_0004682,QT interval,QT-interval,68,Genome-wide significant variants,PGP000175,32429735,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000768/ScoringFiles/PGS000768.txt.gz,data/pgs/scoring_files/PGS000768.txt.gz
PGS003413,rvPRS_IOP,EFO_0004695,intraocular pressure measurement,Intraocular pressure,25,Genome-wide significant rare SNPs,PGP000426,36450729,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003413/ScoringFiles/PGS003413.txt.gz,data/pgs/scoring_files/PGS003413.txt.gz
PGS002920,ExPRSweb_Estradiol_30800-raw_PT_MGI_20211120,EFO_0004697,estradiol measurement,Estradiol,4,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002920/ScoringFiles/PGS002920.txt.gz,data/pgs/scoring_files/PGS002920.txt.gz
PGS002578,repro_MENARCHE_AGE.P+T.5e-08,EFO_0004703,age at menarche,Age at menarche,891,Pruning and Thresholding (P+T),PGP000332,35393596,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002578/ScoringFiles/PGS002578.txt.gz,data/pgs/scoring_files/PGS002578.txt.gz
PGS002821,ExPRSweb_AgeAtMenopause_ieu-a-1004_PT_UKB_20211120,EFO_0004704,age at menopause,Age at menopause,159,Pruning and Thresholding (P+T),PGP000393,36152628,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002821/ScoringFiles/PGS002821.txt.gz,data/pgs/scoring_files/PGS002821.txt.gz
PGS000210,LF279,EFO_0004713,FEV/FVC ratio,Lung function (FEV1/FVC),279,Genome-wide significant variants,PGP000086,30804560,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000210/ScoringFiles/PGS000210.txt.gz,data/pgs/scoring_files/PGS000210.txt.gz
PGS005096,CAC_GRS,EFO_0004723,coronary artery calcification,Coronary artery calcification,11,Genome-wide significant SNPs,PGP000689,39483246,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005096/ScoringFiles/PGS005096.txt.gz,data/pgs/scoring_files/PGS005096.txt.gz
PGS001358,GBE_INI5116,EFO_0004731,eye measurement,3mm cylindrical power (R),148,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001358/ScoringFiles/PGS001358.txt.gz,data/pgs/scoring_files/PGS001358.txt.gz
PGS003343,CVGRS_AST,EFO_0004736,aspartate aminotransferase measurement,Aspartate aminotransferase level,54,Genome-wide significant SNPs,PGP000405,36333282,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS003343/ScoringFiles/PGS003343.txt.gz,data/pgs/scoring_files/PGS003343.txt.gz
PGS002290,GRS10_PUA,EFO_0004761,uric acid measurement,Uric acid level,10,Genome-wide significant variants,PGP000318,35363857,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002290/ScoringFiles/PGS002290.txt.gz,data/pgs/scoring_files/PGS002290.txt.gz
PGS001907,portability-PLR_ECG_RR_interval,EFO_0004831,RR interval,RR interval,1964,Penalized regression (bigstatsr),PGP000263,34995502,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001907/ScoringFiles/PGS001907.txt.gz,data/pgs/scoring_files/PGS001907.txt.gz
PGS000182,neut,EFO_0004833,neutrophil count,Neutrophil count,492,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000182/ScoringFiles/PGS000182.txt.gz,data/pgs/scoring_files/PGS000182.txt.gz
PGS000165,eo,EFO_0004842,eosinophil count,Eosinophil count,607,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000165/ScoringFiles/PGS000165.txt.gz,data/pgs/scoring_files/PGS000165.txt.gz
PGS000321,snpnet_Testosterone_combined,EFO_0004908,testosterone measurement,Serum testosterone levels,7319,snpnet,PGP000097,32873964,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000321/ScoringFiles/PGS000321.txt.gz,data/pgs/scoring_files/PGS000321.txt.gz
